Project,Task,Changed files,TestI,TextI
https://github.com/BTHUNTERCN/bsmi,31,"[app/assets/javascripts/mentor_teacher/schedules.js, app/models/timeslot.rb, app/views/mentor_teacher/schedules/_week_calendar.html.haml, app/controllers/mentor_teacher/schedules_controller.rb, app/assets/stylesheets/mentor_teacher/schedules.css.scss, app/helpers/mentor_teacher/schedules_helper.rb, app/views/mentor_teacher/schedules/edit_or_new.html.haml, app/views/mentor_teacher/schedules/show.html.haml, spec/controllers/mentor_teacher/schedules_controller_spec.rb, features/mentor_teacher_schedule.feature, features/step_definitions/bsmi_steps.rb, spec/factories/timeslot.rb, app/models/mentor_teacher.rb, spec/factories/cal_courses.rb, spec/models/mentor_teacher_spec.rb, app/controllers/cal_courses_controller.rb]","[app/controllers/mentor_teacher/schedules_controller.rb, app/controllers/user_sessions_controller.rb, app/helpers/mentor_teacher/schedules_helper.rb, app/models/timeslot.rb, app/models/user_session.rb, app/views/mentor_teacher/schedules/_form.html.haml, app/views/mentor_teacher/schedules/new.html.haml, app/views/user_sessions/new.html.haml, app/views/user_sessions/shared/_error_messages.html.erb]",[features/support/paths.rb]
https://github.com/BTHUNTERCN/bsmi,73,"[app/views/students/index.html.haml, app/views/application/_advisor_view.html.haml, app/views/layouts/application.html.haml, features/step_definitions/bsmi_steps.rb, features/student_advisors_can_review_schedule.feature, app/controllers/students_controller.rb, app/views/application/_student_view.html.haml, features/registration_login.feature]","[app/controllers/user_sessions_controller.rb, app/controllers/users_controller.rb, app/models/deadline.rb, app/models/semester.rb, app/models/user.rb, app/models/user_session.rb, app/views/user_sessions/new.html.erb, app/views/user_sessions/shared/_error_messages.html.erb, app/views/users/_form.html.erb, app/views/users/adv_edit.html.erb, app/views/users/adv_new.html.erb, app/views/users/adv_show.html.haml, app/views/users/cf_show.haml, app/views/users/edit.html.erb, app/views/users/new.html.erb, app/views/users/shared/_error_messages.html.erb, app/views/users/show.html.erb]","[Gemfile, features/step_definitions/registration_login_steps.rb, features/support/paths.rb]"
https://github.com/BTHUNTERCN/bsmi,157,"[db/migrate/20121105051803_add_course_to_timeslot.rb, db/schema.rb, features/mentor_teacher_schedule.feature, features/step_definitions/mentor_teacher_steps.rb, features/support/paths.rb, app/helpers/mentor_teacher/schedules_helper.rb, features/step_definitions/registration_login_steps.rb, spec/factories/user.rb, Gemfile, Gemfile.lock, .watchr, app/views/mentor_teacher/schedules/_day_schedule.html.haml, app/views/mentor_teacher/schedules/_timeslot_form.html.haml]","[app/controllers/mentor_teacher/schedules_controller.rb, app/controllers/user_sessions_controller.rb, app/helpers/mentor_teacher/schedules_helper.rb, app/models/user_session.rb, app/views/mentor_teacher/schedules/_form.html.haml, app/views/mentor_teacher/schedules/new.html.haml, app/views/user_sessions/new.html.erb, app/views/user_sessions/shared/_error_messages.html.erb]","[Gemfile, app/views/layouts/application.html.haml, features/registration_login.feature, features/step_definitions/registration_login_steps.rb, features/step_definitions/web_steps.rb, features/support/env.rb, features/support/paths.rb, features/support/selectors.rb]"
https://github.com/EFForg/action-center-platform,201,"[.dockerignore, .gitignore, .ruby-version, .travis.yml, Dockerfile, Gemfile, Gemfile.lock, app/assets/javascripts/admin.js, app/assets/javascripts/application.js, app/assets/javascripts/application/affiliations.js, app/assets/javascripts/application/main.js, app/assets/javascripts/application/select2-utils.js, app/assets/javascripts/application/tools/petition.js, app/assets/stylesheets/action_page.css.scss, app/assets/stylesheets/admin/_action_pages.css.scss, app/assets/stylesheets/admin/_base.css.scss, app/assets/stylesheets/admin/_edit.css.scss, app/assets/stylesheets/admin/_image_upload.css.scss, app/assets/stylesheets/application.css.scss, app/assets/stylesheets/application/_base.css.scss, app/assets/stylesheets/application/_mixins.css.scss, app/controllers/action_page_controller.rb, app/controllers/admin/action_pages_controller.rb, app/controllers/admin/institutions_controller.rb, app/controllers/petition_controller.rb, app/controllers/tools_controller.rb, app/controllers/users_controller.rb, app/helpers/application_helper.rb, app/helpers/users_helper.rb, app/models/action_institution.rb, app/models/action_page.rb, app/models/affiliation.rb, app/models/affiliation_type.rb, app/models/institution.rb, app/models/petition.rb, app/models/signature.rb, app/models/source_file.rb, app/models/user.rb, app/views/action_page/show.html.erb, app/views/admin/action_pages/_panel_settings.html.erb, app/views/admin/institutions/_form.html.erb, app/views/admin/institutions/index.html.erb, app/views/admin/institutions/new.html.erb, app/views/affiliations/_affiliation_fields.html.erb, app/views/tools/_affiliation_signatures.html.erb, app/views/tools/_petition.html.erb, app/views/tools/_petition_location.html.erb, app/views/tools/_signatures.html.erb, app/views/users/show.html.erb, config/application.yml.example, config/cucumber.yml, config/initializers/better_errors.rb, config/locales/en.yml, config/locales/es.yml, config/routes.rb, config/secrets.yml, db/migrate/20160520212818_add_show_all_signatures_to_petition.rb, db/migrate/20160601003317_create_institution_sets.rb, db/migrate/20160606202236_create_institutions.rb, db/migrate/20160606222456_add_enable_affiliations_to_petitions.rb, db/migrate/20160610205339_create_action_allowed_institutions.rb, db/migrate/20160616000020_create_affiliations.rb, db/migrate/20160629191322_create_affiliation_types.rb, db/migrate/20160718225646_add_slug_to_institution.rb, db/migrate/20160719204420_remove_show_all_signatures_from_petition.rb, db/schema.rb, docker-compose.yml, docker-compose.yml.example, docker/entrypoint.sh, features/action_page/local_petition.feature, features/action_page/petition.feature, features/admin_action_page/add_institutions.feature, features/admin_action_page/enable_affiliations.feature, features/step_definitions/action_page_steps.rb, features/step_definitions/navigation_steps.rb, features/step_definitions/user_steps.rb, features/support/env.rb, features/upload_files/schools.csv, features/users/achieve_petition_goal.feature, lib/tasks/petition.rake, lib/tasks/update_petition_goals.rake, spec/controllers/action_page_controller_spec.rb, spec/controllers/admin/institutions_controller_spec.rb, spec/factories/affiliation_types.rb, spec/factories/affiliations.rb, spec/factories/institutions.rb, spec/factories/petitions.rb, spec/fixtures/files/bad_schools.csv, spec/fixtures/files/schools.csv, spec/models/affiliation_spec.rb, spec/models/affiliation_type_spec.rb, spec/models/amazon_credentials_spec.rb, spec/models/institution_spec.rb, spec/models/user_spec.rb, spec/spec_helper.rb]","[app/controllers/admin/action_pages_controller.rb, app/controllers/admin/partners_controller.rb, app/controllers/admin/petitions_controller.rb, app/models/action_page.rb, app/models/affiliation_type.rb, app/models/institution.rb, app/models/partner.rb, app/models/petition.rb, app/models/signature.rb, app/models/user.rb, app/views/admin/_header.html.erb, app/views/admin/_nav_tabs.html.erb, app/views/admin/action_pages/_attached_image.html.erb, app/views/admin/action_pages/_date_range_form.html.erb, app/views/admin/action_pages/_date_vars.html.erb, app/views/admin/action_pages/_form.html.erb, app/views/admin/action_pages/_panel_analytics.html.erb, app/views/admin/action_pages/_panel_content.html.erb, app/views/admin/action_pages/_panel_email.html.erb, app/views/admin/action_pages/_panel_photos.html.erb, app/views/admin/action_pages/_panel_settings.html.erb, app/views/admin/action_pages/_panel_social.html.erb, app/views/admin/action_pages/_panel_victory.html.erb, app/views/admin/action_pages/_tab_buttons.html.erb, app/views/admin/action_pages/_top_bar_authoring_controls.html.erb, app/views/admin/action_pages/_tweet_target_image.html.erb, app/views/admin/action_pages/edit.html.erb, app/views/admin/action_pages/new.html.erb, app/views/admin/partners/index.html.erb, app/views/admin/petitions/report.html.erb, app/views/admin/petitions/show.html.erb, lib/smarty_streets.rb]","[app/assets/javascripts/application/tools/petition.js, app/assets/stylesheets/action_page.css.scss, app/controllers/action_page_controller.rb, app/views/affiliations/_affiliation_fields.html.erb, app/views/tools/_signatures.html.erb, features/step_definitions/action_page_steps.rb]"
https://github.com/EFForg/action-center-platform,147,"[app/controllers/registrations_controller.rb, features/users/register.feature, app/helpers/devise_helper.rb, app/models/user.rb, features/step_definitions/navigation_steps.rb, features/users/change_email.feature, app/views/user_mailer/signup_attempt_with_existing_email.html.erb, features/step_definitions/user_steps.rb, spec/factories/users.rb, app/views/user_mailer/signup_attempt_with_existing_email.text.erb, app/mailers/user_mailer.rb]","[app/controllers/admin/action_pages_controller.rb, app/controllers/admin/partners_controller.rb, app/controllers/admin/topic_categories_controller.rb, app/controllers/admin/topic_sets_controller.rb, app/controllers/partners_controller.rb, app/controllers/registrations_controller.rb, app/controllers/users_controller.rb, app/models/partner.rb, app/models/user.rb, app/views/admin/_header.html.erb, app/views/admin/_nav_tabs.html.erb, app/views/admin/action_pages/edit.html.erb, app/views/admin/partners/index.html.erb, app/views/devise/passwords/edit.html.erb, app/views/devise/registrations/edit.html.erb, app/views/devise/shared/_links.erb, app/views/partners/_form.html.erb, app/views/partners/edit.html.erb, app/views/users/edit.html.erb]",[features/step_definitions/user_steps.rb]
https://github.com/EFForg/action-center-platform,207,"[spec/controllers/action_page_controller_spec.rb, features/action_page/local_petition.feature, features/action_page/petition.feature, features/action_page/show_all_signatures.feature, features/step_definitions/action_page_steps.rb, features/step_definitions/user_steps.rb, features/users/achieve_petition_goal.feature, app/controllers/admin/action_pages_controller.rb, app/controllers/petition_controller.rb, app/views/action_page/show.html.erb, app/views/admin/action_pages/_panel_settings.html.erb, app/views/tools/_petition.html.erb, config/routes.rb, db/migrate/20160719204420_remove_show_all_signatures_from_petition.rb, db/schema.rb, spec/factories/petitions.rb, app/controllers/action_page_controller.rb, app/models/petition.rb, app/models/signature.rb, app/views/tools/_signatures.html.erb, app/controllers/admin/institutions_controller.rb, app/models/institution.rb, db/migrate/20160718225646_add_slug_to_institution.rb, Gemfile, Gemfile.lock, app/assets/javascripts/application.js, app/assets/javascripts/application/tools/petition.js, app/assets/stylesheets/action_page.css.scss, app/assets/stylesheets/application.css.scss, app/views/affiliations/_affiliation_fields.html.erb]","[app/controllers/admin/action_pages_controller.rb, app/models/action_page.rb, app/models/affiliation_type.rb, app/models/institution.rb, app/models/petition.rb, app/models/user.rb, lib/smarty_streets.rb]",[spec/factories/petitions.rb]
https://github.com/EFForg/action-center-platform,120,"[features/admin/action_pages/image_gallery.feature, features/step_definitions/source_file_steps.rb, features/step_definitions/user_steps.rb, features/admin/action_pages/admin_affiliations.feature, features/admin/action_pages/enable_affiliations.feature, features/admin/action_pages/select_call_campaign.feature, features/admin_action_page/image_gallery.feature, app/assets/javascripts/admin/file_uploads.js, app/assets/stylesheets/admin/_edit.css.scss, app/controllers/admin/s3_uploads_controller.rb, app/views/admin/action_pages/_modal_gallery.html.erb, app/views/admin/s3_uploads/_table.html.erb, app/assets/javascripts/application/gallery.js, app/assets/stylesheets/admin/_image_upload.css.scss, app/views/admin/action_pages/_attached_image.html.erb, app/views/admin/action_pages/_tab_buttons.html.erb, app/views/admin/action_pages/_tweet_target_image.html.erb]","[app/controllers/admin/action_pages_controller.rb, app/models/action_page.rb, app/models/user.rb, app/views/admin/_header.html.erb, app/views/admin/_nav_tabs.html.erb, app/views/admin/action_pages/_date_range_form.html.erb, app/views/admin/action_pages/_panel_action_pages.html.erb, app/views/admin/action_pages/_panel_homepage_settings.html.erb, app/views/admin/action_pages/_panel_site_analytics.html.erb, app/views/admin/action_pages/_panel_topics.html.erb, app/views/admin/action_pages/edit.html.erb, app/views/admin/action_pages/index.html.erb, app/views/admin/action_pages/new.html.erb]",[app/views/admin/action_pages/_panel_settings.html.erb]
https://github.com/EFForg/action-center-platform,143,"[app/assets/javascripts/application/tools/call.js, app/assets/javascripts/application/tools/email.js.erb, app/assets/javascripts/application/tools/newsletter_signup.js, app/assets/stylesheets/action_page.css.scss, app/controllers/subscriptions_controller.rb, app/controllers/tools_controller.rb, app/views/tools/_call.html.erb, app/views/tools/_email.html.erb, app/views/tools/_email_signup_radios.html.erb, app/views/tools/_newsletter_signup.html.erb, app/views/tools/_petition.html.erb, app/views/tools/_petition_location.html.erb, app/views/tools/_privacy_notice.html.erb, app/views/tools/_tweet.html.erb, config/locales/en.yml, config/locales/es.yml, features/action_page/call_tool_mailings_signup.feature, features/action_page/email_tool_mailings_signup.feature, features/action_page/tweet_tool_mailings_signup.feature, features/step_definitions/user_steps.rb, spec/factories/action_page.rb, spec/factories/email_campaigns.rb]","[app/controllers/admin/action_pages_controller.rb, app/models/action_page.rb, app/models/call_campaign.rb, app/models/email_campaign.rb]",[features/step_definitions/user_steps.rb]
https://github.com/EFForg/action-center-platform,205,"[app/assets/javascripts/application/tools/petition.js, app/assets/stylesheets/action_page.css.scss, app/assets/stylesheets/application.css.scss, app/assets/stylesheets/application/_base.css.scss, app/assets/stylesheets/application/_mixins.css.scss, app/views/action_page/show.html.erb, app/views/affiliations/_affiliation_fields.html.erb, app/views/tools/_affiliation_signatures.html.erb, app/views/tools/_signatures.html.erb, app/views/tools/_signatures_filter.html.erb, config/locales/en.yml, config/locales/es.yml, features/action_page/local_petition.feature, features/action_page/petition.feature, features/step_definitions/action_page_steps.rb, app/controllers/action_page_controller.rb, config/routes.rb, app/helpers/application_helper.rb, app/models/action_page.rb]","[app/controllers/admin/action_pages_controller.rb, app/models/action_page.rb, app/models/affiliation_type.rb, app/models/institution.rb, app/models/petition.rb]","[app/assets/stylesheets/action_page.css.scss, app/controllers/action_page_controller.rb, app/views/tools/_petition.html.erb, app/views/tools/_signatures.html.erb, features/step_definitions/action_page_steps.rb, spec/factories/petitions.rb]"
https://github.com/EFForg/action-center-platform,225,"[app/controllers/application_controller.rb, app/controllers/users_controller.rb, features/step_definitions/user_steps.rb, features/users/achieve_petition_goal.feature, features/users/create_content.feature, features/users/sign_in.feature, features/users/sign_out.feature, spec/factories/users.rb]","[app/controllers/admin/action_pages_controller.rb, app/controllers/admin/topic_categories_controller.rb, app/controllers/admin/topic_sets_controller.rb, app/controllers/partners_controller.rb, app/controllers/users_controller.rb, app/controllers/welcome_controller.rb, app/models/action_page.rb, app/models/user.rb, app/views/admin/_header.html.erb, app/views/admin/_nav_tabs.html.erb, app/views/admin/action_pages/_date_range_form.html.erb, app/views/admin/action_pages/_date_vars.html.erb, app/views/admin/action_pages/index.html.erb, app/views/devise/registrations/edit.html.erb, app/views/subscriptions/_form.html.erb, app/views/tools/_loading.html.erb, app/views/users/edit.html.erb, app/views/users/show.html.erb, app/views/welcome/_meta_tags.html.erb, app/views/welcome/index.html.erb]","[Gemfile, Gemfile.lock, app/controllers/admin/action_pages_controller.rb, app/controllers/tools_controller.rb, app/models/user.rb, config/cucumber.yml, config/database.yml, features/activism/create_content.feature, features/activism/sign_in.feature, features/step_definitions/.gitkeep, features/step_definitions/activism_steps.rb, features/support/env.rb, features/supporter/achieve_petition_goal.feature, features/upload_files/img.png, lib/tasks/cucumber.rake, script/cucumber, spec/factories/users.rb]"
